TAIL_NUM,AIRCRAFT_TYPE
N73270,B738
N832UA,A319
N890UA,A319
N35407,B739
N76516,B738
N23721,B737
N41135,B752
N77019,B772
N452UA,A320
N570AS,B738
N315AS,B739
N836AY,CRJ2
N564JB,A320
N14173,E45X
N15574,E145
N716FR,A321
N943FR,A319
221NV,A320
404NV,MD88
412NV,MD88
N638AE,E145
N242NN,E170
N918AE,E145
N655AE,E145
N505NK,A319
N677NK,A321
N622NK,A320
N504NK,A319
N258PS,CRJ2
N173SY,E75L
N951SW,CRJ2
N625CA,CRJ7
N202SY,E75L
N855VA,A320
N8674B,B738
N744SW,B737
N7707C,B737
N412WN,B737
N954WN,B737
N8318F,B738
N400WN,B737
N8667D,B738
N482WN,B737
N7855A,B737
N7717D,B737
N435WN,B737
N7859B,B737
N959LR,CRJ9
N88325,E75L
N118HQ,E75S
N401YX,E75S
N714US,A319
N833AW,A319
N836AW,A319
N657AW,A320
N665AW,A320
N730US,A319
N9629H,MD83
N555AN,MD82
N884NN,B738
N967TW,MD83
N8009T,A319
N130AN,A321
N110AN,A321
N9624T,MD83
N349AN,B763
N852NN,B738
N590NW,B753
N315DN,A321
N989AT,B712
N376DA,B738
N358NW,A320
N961AT,B712
N814DN,B739
N989DL,MD88
N841DN,B739
N962DL,MD88
N930AT,B712
N541US,B752
N836DN,B739
N77542,B738
N838UA,A319
N228PQ,CRJ9
N835AY,CRJ2
866GA,MD83
N351NB,A319
N319US,A320
N36280,B738
N790AN,B772
N927DN,MD90
N1602,B763
N76010,B772
N89321,E75L
N780AN,B772
N24736,B737
N26967,B789
N7837A,B737
N930DN,MD90
N943SW,CRJ2
N823SK,CRJ9
